marketplace,categoria,titulo,ranking_venda,preco,link_produto,link_imagem_produto,data_extracao
Mercado Livre,Games,Cadeira de Escritório Pctop Office Fit 1001 9050 Ergonômica Preta com Estofado de Mesh y Tecido,1,195,https://www.mercadolivre.com.br/cadeira-de-escritorio-pctop-office-fit-1001-9050-ergonmica-preta-com-estofado-de-mesh-y-tecido/p/MLB17810620#c_container_id=not_apply&c_id=%2Fsplinter%2Fcarouseldynamicitem&c_element_order=1&c_campaign=games&c_label=%2Fsplinter%2Fcarouseldynamicitem&c_uid=844ad1b1-2b96-11f0-8fbc-e73210270641&c_element_id=844ad1b1-2b96-11f0-8fbc-e73210270641&c_global_position=2,https://http2.mlstatic.com/D_Q_NP_971471-MLA46389734628_062021-P.webp,2025-05-07 19:56:31.352506
Mercado Livre,Games,Controle joystick sem fio Sony PlayStation DualSense CFI-ZCT1W gray camuflado,2,541,https://www.mercadolivre.com.br/controle-joystick-sem-fio-sony-playstation-dualsense-cfi-zct1w-gray-camuflado/p/MLB19692998#c_container_id=not_apply&c_id=%2Fsplinter%2Fcarouseldynamicitem&c_element_order=2&c_campaign=games&c_label=%2Fsplinter%2Fcarouseldynamicitem&c_uid=844ad1b2-2b96-11f0-8fbc-e73210270641&c_element_id=844ad1b2-2b96-11f0-8fbc-e73210270641&c_global_position=2,https://http2.mlstatic.com/D_Q_NP_779577-MLA82381406328_022025-P.webp,2025-05-07 19:56:31.352506
Mercado Livre,Games,Controle Compatível Ps4 Bluetooth Pc Gamer Tv Smart Preto,3,57,https://www.mercadolivre.com.br/controle-compativel-ps4-bluetooth-pc-gamer-tv-smart-preto/p/MLB36590147#c_container_id=not_apply&c_id=%2Fsplinter%2Fcarouseldynamicitem&c_element_order=3&c_campaign=games&c_label=%2Fsplinter%2Fcarouseldynamicitem&c_uid=844ad1b3-2b96-11f0-8fbc-e73210270641&c_element_id=844ad1b3-2b96-11f0-8fbc-e73210270641&c_global_position=2,https://http2.mlstatic.com/D_Q_NP_980942-MLA80446002375_112024-P.webp,2025-05-07 19:56:31.352506
Mercado Livre,Games,Controle joystick sem fio Microsoft Xbox Wireless Controller Series X|S Series X e S robot white,4,419,https://www.mercadolivre.com.br/controle-joystick-sem-fio-microsoft-xbox-wireless-controller-series-xs-series-x-e-s-robot-white/p/MLB16268161#c_container_id=not_apply&c_id=%2Fsplinter%2Fcarouseldynamicitem&c_element_order=4&c_campaign=games&c_label=%2Fsplinter%2Fcarouseldynamicitem&c_uid=844ad1b4-2b96-11f0-8fbc-e73210270641&c_element_id=844ad1b4-2b96-11f0-8fbc-e73210270641&c_global_position=2,https://http2.mlstatic.com/D_Q_NP_889337-MLA44330907885_122020-P.webp,2025-05-07 19:56:31.352506
Mercado Livre,Games,Fone De Ouvido Gamer Rgb Headset Headphone P/ Celular Pc Ps4 Cor Azul,5,49,https://www.mercadolivre.com.br/fone-de-ouvido-gamer-rgb-headset-headphone-p-celular-pc-ps4-cor-azul/p/MLB24226986#c_container_id=not_apply&c_id=%2Fsplinter%2Fcarouseldynamicitem&c_element_order=5&c_campaign=games&c_label=%2Fsplinter%2Fcarouseldynamicitem&c_uid=844ad1b5-2b96-11f0-8fbc-e73210270641&c_element_id=844ad1b5-2b96-11f0-8fbc-e73210270641&c_global_position=2,https://http2.mlstatic.com/D_Q_NP_734290-MLU77144590838_062024-P.webp,2025-05-07 19:56:31.352506
Mercado Livre,Games,SSD Crucial BX500 240GB Disco Rígido Interno Alta Velocidade Preto Modelo CT240BX500SSD1,6,167,https://www.mercadolivre.com.br/ssd-crucial-bx500-240gb-disco-rigido-interno-alta-velocidade-preto-modelo-ct240bx500ssd1/p/MLB18102729#c_container_id=not_apply&c_id=%2Fsplinter%2Fcarouseldynamicitem&c_element_order=6&c_campaign=games&c_label=%2Fsplinter%2Fcarouseldynamicitem&c_uid=844ad1b6-2b96-11f0-8fbc-e73210270641&c_element_id=844ad1b6-2b96-11f0-8fbc-e73210270641&c_global_position=2,https://http2.mlstatic.com/D_Q_NP_840019-MLU72566263316_112023-P.webp,2025-05-07 19:56:31.352506
Mercado Livre,Games,Disco sólido interno Western Digital WD Green WDS100T3G0A 1TB verde,7,386,https://www.mercadolivre.com.br/disco-solido-interno-western-digital-wd-green-wds100t3g0a-1tb-verde/p/MLB14661338#c_container_id=not_apply&c_id=%2Fsplinter%2Fcarouseldynamicitem&c_element_order=7&c_campaign=games&c_label=%2Fsplinter%2Fcarouseldynamicitem&c_uid=844ad1b7-2b96-11f0-8fbc-e73210270641&c_element_id=844ad1b7-2b96-11f0-8fbc-e73210270641&c_global_position=2,https://http2.mlstatic.com/D_Q_NP_859585-MLU70027970531_062023-P.webp,2025-05-07 19:56:31.352506
Mercado Livre,Games,Controle Gamesir T4 Nova Lite Sem Fio Para Pc Switch Android Ios Steam Celular Hall Effect Cor Space Purple,8,194,https://www.mercadolivre.com.br/controle-gamesir-t4-nova-lite-sem-fio-para-pc-switch-android-ios-steam-celular-hall-effect-cor-space-purple/p/MLB35655836#c_container_id=not_apply&c_id=%2Fsplinter%2Fcarouseldynamicitem&c_element_order=8&c_campaign=games&c_label=%2Fsplinter%2Fcarouseldynamicitem&c_uid=844ad1b8-2b96-11f0-8fbc-e73210270641&c_element_id=844ad1b8-2b96-11f0-8fbc-e73210270641&c_global_position=2,https://http2.mlstatic.com/D_Q_NP_743839-MLA80785848007_112024-P.webp,2025-05-07 19:56:31.352506
Mercado Livre,Games,Headset Gamer Havit H2002d Edição Cores White Red Roxo Pink Cor Azul,9,289,https://www.mercadolivre.com.br/headset-gamer-havit-h2002d-edico-cores-white-red-roxo-pink-cor-azul/p/MLB26892220#c_container_id=not_apply&c_id=%2Fsplinter%2Fcarouseldynamicitem&c_element_order=9&c_campaign=games&c_label=%2Fsplinter%2Fcarouseldynamicitem&c_uid=844ad1b9-2b96-11f0-8fbc-e73210270641&c_element_id=844ad1b9-2b96-11f0-8fbc-e73210270641&c_global_position=2,https://http2.mlstatic.com/D_Q_NP_900663-MLU77375945791_072024-P.webp,2025-05-07 19:56:31.352506
Mercado Livre,Games,Controle Joystick Bluetooth Sem Fio Para Tv Pc Cor Preto,10,51,https://www.mercadolivre.com.br/controle-joystick-bluetooth-sem-fio-para-tv-pc-cor-preto/p/MLB35975740#c_container_id=not_apply&c_id=%2Fsplinter%2Fcarouseldynamicitem&c_element_order=10&c_campaign=games&c_label=%2Fsplinter%2Fcarouseldynamicitem&c_uid=844ad1ba-2b96-11f0-8fbc-e73210270641&c_element_id=844ad1ba-2b96-11f0-8fbc-e73210270641&c_global_position=2,https://http2.mlstatic.com/D_Q_NP_866108-MLU75725319154_042024-P.webp,2025-05-07 19:56:31.352506
